1570732402126
Hello from ESP32 Server1570732402134
608814	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.65	-0.06	-0.19	0.06	13.19	-8.06	36.38	0.07	-0.06	-0.07	1	3	0	0
1570732402344
608823	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.64	-0.13	0.06	0.00	13.19	-8.06	36.38	0.07	-0.06	-0.06	1	3	0	0
608834	0.27	-0.96	0.08	0.07	2.01	-0.89	-9.65	0.00	-0.25	0.06	17.19	-8.06	39.25	0.06	-0.07	-0.08	1	3	0	0
608845	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.65	-0.13	0.19	0.00	17.19	-8.06	39.25	0.07	-0.05	-0.07	1	3	0	0
608856	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.65	0.06	0.25	-0.06	17.19	-8.06	39.25	0.07	-0.05	-0.07	1	3	0	0
608867	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.65	0.13	0.06	-0.06	17.19	-8.06	39.25	0.07	-0.04	-0.08	1	3	0	0
608876	0.27	-0.96	0.08	0.07	2.02	-0.86	-9.66	-0.06	0.31	0.13	15.00	-7.69	39.25	0.05	-0.05	-0.05	1	3	0	0
608887	0.27	-0.96	0.08	0.07	2.00	-0.88	-9.63	0.06	0.00	-0.06	15.00	-7.69	39.25	0.08	-0.06	-0.05	1	3	0	0
608898	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.63	-0.06	0.00	0.13	15.00	-7.69	39.25	0.07	-0.06	-0.09	1	3	0	0
608908	0.27	-0.96	0.08	0.07	2.02	-0.89	-9.66	-0.06	0.13	0.00	15.00	-7.69	39.25	0.06	-0.05	-0.07	1	3	0	0
608918	0.27	-0.96	0.08	0.07	2.01	-0.88	-9.65	0.06	-0.06	0.00	15.00	-7.69	39.25	0.06	-0.06	-0.07	1	3	0	0
608928	0.27	-0.96	0.08	0.07	2.01	-0.88	-9.65	-0.06	-0.13	0.00	14.56	-9.19	40.06	0.07	-0.05	-0.05	1	3	0	0
608938	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.65	0.06	-0.13	0.00	14.56	-9.19	40.06	0.08	-0.06	-0.07	1	3	0	0
608950	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.66	0.00	0.00	0.00	14.56	-9.19	40.06	0.07	-0.06	-0.09	1	3	0	0
608961	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.64	-0.06	-0.06	0.00	14.56	-9.19	40.06	0.08	-0.06	-0.06	1	3	0	0
608970	0.27	-0.96	0.08	0.07	2.01	-0.87	-9.62	0.00	-0.06	-0.06	14.56	-9.19	40.06	0.06	-0.04	-0.05	1	3	0	0
608979	0.27	-0.96	0.08	0.07	2.03	-0.87	-9.67	0.00	0.25	0.00	13.56	-8.06	36.38	0.08	-0.04	-0.09	1	3	0	0
608989	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.68	0.00	-0.06	0.06	13.56	-8.06	36.38	0.08	-0.06	-0.10	1	3	0	0
609000	0.27	-0.96	0.08	0.07	2.03	-0.89	-9.65	0.06	0.06	0.00	13.56	-8.06	36.38	0.08	-0.06	-0.07	1	3	0	0
609010	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.66	0.00	0.06	0.00	13.56	-8.06	36.38	0.07	-0.06	-0.08	1	3	0	0
609019	0.27	-0.96	0.08	0.07	2.02	-0.86	-9.61	-0.06	0.19	0.00	13.56	-8.06	36.38	0.07	-0.04	-0.04	1	3	0	0
1570732402545
609034	0.27	-0.96	0.08	0.07	2.01	-0.89	-9.63	-0.06	0.31	0.06	14.56	-7.25	37.25	0.06	-0.06	-0.05	1	3	0	0
609044	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.64	0.00	0.13	0.06	14.56	-7.25	37.25	0.08	-0.06	-0.06	1	3	0	0
609055	0.27	-0.96	0.08	0.07	2.03	-0.88	-9.67	-0.06	0.06	0.00	14.56	-7.25	37.25	0.08	-0.06	-0.09	1	3	0	0
609066	0.27	-0.96	0.08	0.07	2.04	-0.88	-9.66	0.00	-0.13	0.00	14.56	-7.25	37.25	0.08	-0.07	-0.06	1	3	0	0
609075	0.27	-0.96	0.08	0.07	2.03	-0.89	-9.64	-0.06	0.13	0.06	14.56	-7.25	37.25	0.08	-0.07	-0.06	1	3	0	0
609086	0.27	-0.96	0.08	0.07	2.02	-0.87	-9.63	-0.06	-0.19	0.00	13.56	-7.69	38.38	0.07	-0.05	-0.07	1	3	0	0
609097	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.65	-0.13	0.06	0.00	13.56	-7.69	38.38	0.07	-0.06	-0.10	1	3	0	0
609108	0.27	-0.96	0.08	0.07	2.02	-0.88	-9.67	0.06	-0.06	-0.19	13.56	-7.69	38.38	0.08	-0.05	-0.07	1	3	0	0
